City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ponta Do Sol,PT,75.7,overcast clouds,32.6667,-17.1,Hotel do Campo
7,Pangai,TO,75.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
9,Hithadhoo,MV,82.74,moderate rain,-0.6,73.0833,Scoop Guest House
12,Coruripe,BR,83.23,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
21,Mayumba,GA,76.77,light rain,-3.432,10.6554,LIKWALE LODGE
25,Butaritari,KI,81.57,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
27,Touros,BR,84.85,clear sky,-5.1989,-35.4608,INN NEW HORIZON
30,Micheweni,TZ,76.19,broken clouds,-4.9667,39.8333,
31,Cartagena,CO,80.22,light intensity drizzle,10.3997,-75.5144,Hotel Colombia Real - Cartagena
33,Coromandel,BR,86.43,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
38,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Bani,DO,85.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
47,Ouango,CF,78.15,broken clouds,4.3133,22.5552,
49,Bandarbeyla,SO,77.49,broken clouds,9.4942,50.8122,JABIR HOTEL
54,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
55,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
59,Sao Filipe,CV,80.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
62,Kuchera,IN,83.16,clear sky,26.9839,73.9719,Surendra Java
82,Kodinar,IN,79.57,scattered clouds,20.7903,70.7031,residency of N.B vadhel
85,Cururupu,BR,87.28,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
93,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
96,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
