City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Inongo,CD,2022-09-28 18:54:27,-1.95,18.2667,69.39,95,83,2.95
1,Mar Del Plata,AR,2022-09-28 18:52:29,-38.0023,-57.5575,57.94,47,0,9.22
2,Thompson,CA,2022-09-28 18:54:28,55.7435,-97.8558,62.76,48,20,16.11
3,Hobart,AU,2022-09-28 18:50:45,-42.8794,147.3294,49.86,93,100,18.41
4,Busselton,AU,2022-09-28 18:54:29,-33.65,115.3333,55.18,87,3,10.63
5,Nanortalik,GL,2022-09-28 18:54:29,60.1432,-45.2371,42.21,97,100,4.68
6,Bluff,NZ,2022-09-28 18:54:29,-46.6,168.3333,49.8,90,100,13.24
7,Hermanus,ZA,2022-09-28 18:54:30,-34.4187,19.2345,52.81,81,100,3.44
8,Rikitea,PF,2022-09-28 18:49:36,-23.1203,-134.9692,71.51,60,97,11.65
9,New Norfolk,AU,2022-09-28 18:54:31,-42.7826,147.0587,49.5,84,100,1.01
10,Barrow,US,2022-09-28 18:54:31,71.2906,-156.7887,29.59,85,100,17.16
11,Awash,ET,2022-09-28 18:54:32,8.9833,40.1667,80.58,44,63,3.31
12,Kapaa,US,2022-09-28 18:53:09,22.0752,-159.319,81.1,73,14,3.0
13,Longyearbyen,SJ,2022-09-28 18:54:32,78.2186,15.6401,35.44,93,75,2.3
14,Vestmannaeyjar,IS,2022-09-28 18:54:33,63.4427,-20.2734,47.39,93,75,3.44
15,Ilulissat,GL,2022-09-28 18:54:33,69.2167,-51.1,35.46,100,100,1.81
16,Ushuaia,AR,2022-09-28 18:54:34,-54.8,-68.3,55.06,47,20,8.05
17,Anloga,GH,2022-09-28 18:54:34,5.7947,0.8973,76.75,86,100,9.08
18,Grafton,US,2022-09-28 18:54:34,42.207,-71.6856,70.16,60,94,1.99
19,Dingzhou,CN,2022-09-28 18:54:35,38.5131,114.9956,60.91,56,0,3.02
20,Constitucion,CL,2022-09-28 18:51:35,-35.3333,-72.4167,60.96,68,11,3.67
21,Nabire,ID,2022-09-28 18:54:35,-3.3667,135.4833,74.25,94,100,3.31
22,Hobyo,SO,2022-09-28 18:54:36,5.3505,48.5268,77.25,87,12,23.13
23,Victoria,HK,2022-09-28 18:54:36,22.2855,114.1577,84.38,79,60,13.0
24,Cape Town,ZA,2022-09-28 18:52:12,-33.9258,18.4232,61.27,72,0,9.22
25,Husavik,IS,2022-09-28 18:54:37,66.0449,-17.3389,41.79,78,73,1.48
26,Vytegra,RU,2022-09-28 18:54:37,61.0064,36.4481,40.37,93,100,14.63
27,Tuatapere,NZ,2022-09-28 18:54:38,-46.1333,167.6833,50.14,94,100,12.15
28,Belmonte,BR,2022-09-28 18:54:38,-15.8631,-38.8828,78.73,68,9,9.13
29,Nikolskoye,RU,2022-09-28 18:54:38,59.7035,30.7861,46.29,93,100,6.8
30,Boyabat,TR,2022-09-28 18:54:39,41.4689,34.7667,63.27,76,99,1.34
31,Dikson,RU,2022-09-28 18:54:39,73.5069,80.5464,34.59,82,62,16.6
32,Deputatskiy,RU,2022-09-28 18:54:40,69.3,139.9,13.08,98,100,1.39
33,Arraial Do Cabo,BR,2022-09-28 18:54:40,-22.9661,-42.0278,71.56,94,100,13.8
34,Vaini,TO,2022-09-28 18:54:40,-21.2,-175.2,68.16,94,40,9.22
35,Lorengau,PG,2022-09-28 18:54:41,-2.0226,147.2712,81.34,71,100,10.38
36,Kavieng,PG,2022-09-28 18:54:41,-2.5744,150.7967,81.91,69,99,13.18
37,Maningrida,AU,2022-09-28 18:54:42,-12.0667,134.2667,75.92,86,28,9.8
38,Port Alfred,ZA,2022-09-28 18:54:42,-33.5906,26.891,62.19,92,73,5.01
39,Ponta Do Sol,PT,2022-09-28 18:54:42,32.6667,-17.1,72.23,77,45,2.75
40,Bredasdorp,ZA,2022-09-28 18:54:43,-34.5322,20.0403,54.7,86,99,2.06
41,Mataura,NZ,2022-09-28 18:54:43,-46.1927,168.8643,49.48,99,100,4.63
42,Westport,US,2022-09-28 18:53:39,41.1415,-73.3579,70.92,60,30,7.0
43,Khatanga,RU,2022-09-28 18:54:44,71.9667,102.5,24.75,96,100,11.99
44,Punta Arenas,CL,2022-09-28 18:53:04,-53.15,-70.9167,57.31,44,0,31.07
45,Souillac,MU,2022-09-28 18:54:45,-20.5167,57.5167,70.18,68,75,10.36
46,Butaritari,KI,2022-09-28 18:54:45,3.0707,172.7902,80.92,77,100,15.01
47,Ribeira Grande,PT,2022-09-28 18:55:45,38.5167,-28.7,72.0,68,75,10.36
48,Bose,IT,2022-09-28 18:55:46,45.4612,8.0137,59.76,79,100,3.47
49,Coquimbo,CL,2022-09-28 18:54:49,-29.9533,-71.3436,62.33,67,40,8.05
50,Cherskiy,RU,2022-09-28 18:55:46,68.75,161.3,23.29,74,53,3.89
51,Huarmey,PE,2022-09-28 18:55:47,-10.0681,-78.1522,67.3,69,3,10.78
52,Kattivakkam,IN,2022-09-28 18:55:47,13.2167,80.3167,84.29,73,100,7.74
53,Arlit,NE,2022-09-28 18:55:47,18.7369,7.3853,100.26,10,51,8.81
54,Saint-Philippe,RE,2022-09-28 18:55:48,-21.3585,55.7679,69.39,72,73,11.88
55,Lebu,CL,2022-09-28 18:55:48,-37.6167,-73.65,57.38,69,0,13.38
56,Zhangye,CN,2022-09-28 18:55:49,38.9342,100.4517,62.2,24,0,3.94
57,Vila Velha,BR,2022-09-28 18:53:33,-20.3297,-40.2925,78.75,89,75,11.5
58,Anadyr,RU,2022-09-28 18:55:50,64.75,177.4833,30.7,92,75,6.71
59,Kirakira,SB,2022-09-28 18:55:50,-10.4544,161.9205,78.71,78,12,5.73
60,Manosque,FR,2022-09-28 18:55:50,43.8288,5.7869,61.56,77,12,8.5
61,Tiksi,RU,2022-09-28 18:55:51,71.6872,128.8694,29.52,84,100,6.96
62,Albany,US,2022-09-28 18:55:51,42.6001,-73.9662,66.63,74,70,9.51
63,Hasaki,JP,2022-09-28 18:55:52,35.7333,140.8333,68.4,61,100,5.1
64,Kaitangata,NZ,2022-09-28 18:55:53,-46.2817,169.8464,51.48,97,100,4.92
65,Nantucket,US,2022-09-28 18:55:53,41.2835,-70.0995,69.91,61,100,16.24
66,Half Moon Bay,US,2022-09-28 18:55:54,37.4636,-122.4286,80.58,72,0,14.97
67,Jamestown,US,2022-09-28 18:55:54,42.097,-79.2353,59.02,65,100,14.97
68,Saint George,US,2022-09-28 18:55:54,37.1041,-113.5841,82.94,35,40,4.0
69,Mayo,US,2022-09-28 18:55:55,38.8876,-76.5119,71.04,56,39,10.0
70,Bengkulu,ID,2022-09-28 18:55:55,-3.8004,102.2655,74.79,90,63,3.89
71,Ugoofaaru,MV,2022-09-28 18:55:56,5.6667,73.0,82.18,70,73,12.44
72,Cabo San Lucas,MX,2022-09-28 18:53:03,22.8909,-109.9124,92.61,75,0,1.01
73,Talnakh,RU,2022-09-28 18:55:56,69.4865,88.3972,20.5,80,81,3.2
74,Pisco,PE,2022-09-28 18:55:57,-13.7,-76.2167,65.01,72,6,11.5
75,Vostok,RU,2022-09-28 18:55:57,46.4856,135.8833,41.41,91,8,2.01
76,Cap Malheureux,MU,2022-09-28 18:55:58,-19.9842,57.6142,68.47,64,39,3.0
77,Sumbe,AO,2022-09-28 18:55:58,-11.2061,13.8437,72.57,86,76,6.58
78,Kudahuvadhoo,MV,2022-09-28 18:55:59,2.6708,72.8944,82.0,74,96,17.69
79,Reconquista,AR,2022-09-28 18:55:59,-29.15,-59.65,71.64,37,100,14.72
80,Cururupu,BR,2022-09-28 18:56:00,-1.8283,-44.8683,85.73,61,92,7.31
81,Harper,LR,2022-09-28 18:56:00,4.375,-7.7169,76.23,89,61,11.86
82,Jalingo,NG,2022-09-28 18:56:01,8.8833,11.3667,74.79,89,96,1.9
83,Ossora,RU,2022-09-28 18:56:01,59.2353,163.0719,42.73,83,100,2.82
84,Genhe,CN,2022-09-28 18:56:01,50.7833,121.5167,43.65,45,100,7.85
85,Bonavista,CA,2022-09-28 18:56:02,48.6499,-53.1147,60.93,97,100,14.43
86,Maniitsoq,GL,2022-09-28 18:56:02,65.4167,-52.9,42.62,86,100,9.82
87,Hithadhoo,MV,2022-09-28 18:56:03,-0.6,73.0833,80.74,72,100,10.98
88,Bairiki,KI,2022-09-28 18:56:03,1.3292,172.9752,77.0,100,75,4.61
89,Tibiri,NE,2022-09-28 18:56:04,13.5627,7.0485,84.54,65,0,6.91
90,Luba,GQ,2022-09-28 18:56:04,3.4568,8.5547,78.69,87,100,2.13
91,Bendigo,AU,2022-09-28 18:56:05,-36.7667,144.2833,47.86,61,1,7.0
92,Georgetown,MY,2022-09-28 18:54:37,5.4112,100.3354,80.53,91,20,2.3
93,San Vicente,AR,2022-09-28 18:56:06,-26.6167,-54.1333,64.06,76,100,6.35
